prompt,result,lp
"Given the translation from English to Spanish and the annotated error spans, assign a score on a continuous scale from 0 to 100.
The scale has following reference points: 0=""No meaning preserved"", 33=""Some meaning preserved"", 66=""Most meaning preserved and few grammar mistakes"", up to 100=""Perfect meaning and grammar"".

Score the following translation from English source:
```Politicians who think they can overturn judges"" decisions are effectively putting themselves above the law```
Spanish translation:
```Los políticos que creen que pueden retorcer jueces y decisiones se encuentran efectivamente por encima de la```
Annotated error spans:
```Major:
accuracy/mistranslation - ""retorcer jueces y decisiones""
accuracy/omission - ""law""
Minor:
fluency/punctuation - ""por encima de la""```","<answer>
76
</answer>",en-es
"Given the translation from English to Spanish and the annotated error spans, assign a score on a continuous scale from 0 to 100.
The scale has following reference points: 0=""No meaning preserved"", 33=""Some meaning preserved"", 66=""Most meaning preserved and few grammar mistakes"", up to 100=""Perfect meaning and grammar"".

Score the following translation from English source:
```The Islamic Movement in Nigeria has described the freedom granted its leader Elzakzaki and his wife, as victory over persecution by President Mohammad Buhari and Governor Nacional Erofei of Kaduna State. The group also says the ruling has been indicated its leaders and members of the group. Hope you enjoyed the news. Please do subscribe to our YouTube channel and don't forget to hit the notification button so you get notified about fresh news updates.```
Spanish translation:
```La Faianda burguesa pressocia sa desnito la promulgtad downorgando a retra líder El Bukzking and retra comeiano, como decisiva así como la persecucion por the Presidente Faro Stamui and Vebernienne Teatro Erofei de Codigo de Kadouna. El grupo cufranquin care with la enviados sa siano indoeuro a retras líders and moatzis del grupo. Fran forma, posfrute de las```
Annotated error spans:
```Major:
accuracy/mistranslation - ""Faianda burguesa""
accuracy/mistranslation - ""desnito""
accuracy/mistranslation - ""promulgtad downorgando""
accuracy/mistranslation - ""retra""
accuracy/mistranslation - ""comeiano""
accuracy/mistranslation - ""desicion""
accuracy/mistranslation - ""persecucion""
accuracy/mistranslation - ""the Presidente""
accuracy/mistranslation - ""Faro Stamui""
accuracy/mistranslation - ""Vebernienne Teatro""
accuracy/mistranslation - ""Erofei de Codigo""
accuracy/mistranslation - ""cufranquin""
accuracy/mistranslation - ""care with""
accuracy/mistranslation - ""enviados sa siano""
accuracy/mistranslation - ""indoeuro""
accuracy/mistranslation - ""moatzis""
accuracy/mistranslation - ""Fran forma""
accuracy/mistranslation - ""posfrute""
Minor:
fluency/grammar - ""posfrute de las""```","<answer>
33
</answer>",en-es
"Given the translation from English to Spanish and the annotated error spans, assign a score on a continuous scale from 0 to 100.
The scale has following reference points: 0=""No meaning preserved"", 33=""Some meaning preserved"", 66=""Most meaning preserved and few grammar mistakes"", up to 100=""Perfect meaning and grammar"".

Score the following translation from English source:
```However, Tenuk and Kayel quickly realized they weren't alone. A second dark creature shot out from beneath them, and Tenuk only just managed to avoid a collision.```
Spanish translation:
```Sin embargo, Tenuk y Kayel rápidamente se dieron cuenta de que no estaban solos. Una segunda criatura oscura salió disparada debajo de ellos, y Tenuk apenas logró evitar una colisión.```
Annotated error spans:
```Major:
accuracy/mistranslation - ""disparada""
Minor:
style/awkward - ""debajo de ellos""```","<answer>
91
</answer>",en-es
"Given the translation from English to Spanish and the annotated error spans, assign a score on a continuous scale from 0 to 100.
The scale has following reference points: 0=""No meaning preserved"", 33=""Some meaning preserved"", 66=""Most meaning preserved and few grammar mistakes"", up to 100=""Perfect meaning and grammar"".

Score the following translation from English source:
```Tim Whitehouse, a former EPA enforcement attorney and the executive director of Public Employees for Environmental Responsibility, praised the Biden administration's recent improvements on enforcement while acknowledging the strong headwinds such efforts face. ""It takes years of sustained funding and political support to build a good enforcement program,"" he told me. ""The instability in Congress is not only demoralizing to EPA staff but undermines their ability to think strategically over the long term.""```
Spanish translation:
```Tim Whitehouse, ex abogado especializado en el cumplimiento de la EPA y director ejecutivo de la asociación ""Public Employees for Environmental Responsibility"", celebró las recientes mejoras en el cumplimiento logradas por la administración Biden, aunque reconoció los fuertes obstáculos a los que se enfrentan dichos esfuerzos. ""Se necesitan años de financiamiento sostenido y apoyo político para construir un buen programa de cumplimiento"", me dijo. ""La inestabilidad del Congreso no solo desmoraliza al personal de la EPA, sino que también socava su capacidad de pensar estratégicamente a largo plazo"".```
Annotated error spans:
```Major:
accuracy/mistranslation - ""public employees""
Minor:
accuracy/mistranslation - ""logradas por""```","<answer>
92
</answer>",en-es
"Given the translation from English to Spanish and the annotated error spans, assign a score on a continuous scale from 0 to 100.
The scale has following reference points: 0=""No meaning preserved"", 33=""Some meaning preserved"", 66=""Most meaning preserved and few grammar mistakes"", up to 100=""Perfect meaning and grammar"".

Score the following translation from English source:
```Superbooth Berlin (just an attendee)```
Spanish translation:
```Superbooth Berlín (solo como asistente)```
Annotated error spans:
```Minor:
accuracy/mistranslation - ""asistente""```","<answer>
66
</answer>",en-es
"Given the translation from English to Spanish and the annotated error spans, assign a score on a continuous scale from 0 to 100.
The scale has following reference points: 0=""No meaning preserved"", 33=""Some meaning preserved"", 66=""Most meaning preserved and few grammar mistakes"", up to 100=""Perfect meaning and grammar"".

Score the following translation from English source:
```the AT&T status site claims there's no outages...even though the news is reporting an outage 😠```
Spanish translation:
```el sitio web de AT&T afirma que no hay cortes...aunque la noticia informa de un corte 😠```
Annotated error spans:
```Major:
accuracy/mistranslation - ""the news is reporting an outage""
Minor:
style/awkward - ""aunque""```","<answer>
99
</answer>",en-es
"Given the translation from English to Spanish and the annotated error spans, assign a score on a continuous scale from 0 to 100.
The scale has following reference points: 0=""No meaning preserved"", 33=""Some meaning preserved"", 66=""Most meaning preserved and few grammar mistakes"", up to 100=""Perfect meaning and grammar"".

Score the following translation from English source:
```redid the head!```
Spanish translation:
```¡rehice la cabeza!```
Annotated error spans:
```Major:
accuracy/mistranslation - ""rehice""```","<answer>
72
</answer>",en-es
"Given the translation from English to Spanish and the annotated error spans, assign a score on a continuous scale from 0 to 100.
The scale has following reference points: 0=""No meaning preserved"", 33=""Some meaning preserved"", 66=""Most meaning preserved and few grammar mistakes"", up to 100=""Perfect meaning and grammar"".

Score the following translation from English source:
```Heck yea, end of study unit 1.```
Spanish translation:
```Pues sí, fin de la unidad de estudio 1.```
Annotated error spans:
```Minor:
accuracy/mistranslation - ""Heck yea""```","<answer>
83
</answer>",en-es
"Given the translation from English to Spanish and the annotated error spans, assign a score on a continuous scale from 0 to 100.
The scale has following reference points: 0=""No meaning preserved"", 33=""Some meaning preserved"", 66=""Most meaning preserved and few grammar mistakes"", up to 100=""Perfect meaning and grammar"".

Score the following translation from English source:
```“Can’t tell,” Cohren stated. He reached for his mic and spoke. “Exodus Company, hold fire unless fired upon, let's draw them out```
Spanish translation:
```""No puedo decirlo"", afirmó Cohren. Cogió su micrófono y habló. ""Compañía Éxodo, no disparen a menos que les disparen, vamos a hacerlos salir"".```
Annotated error spans:
```Major:
accuracy/mistranslation - ""draw them out""
Minor:
style/awkward - ""vamos a hacerlos salir""```","<answer>
78
</answer>",en-es
"Given the translation from English to Spanish and the annotated error spans, assign a score on a continuous scale from 0 to 100.
The scale has following reference points: 0=""No meaning preserved"", 33=""Some meaning preserved"", 66=""Most meaning preserved and few grammar mistakes"", up to 100=""Perfect meaning and grammar"".

Score the following translation from English source:
```📉```
Spanish translation:
```📉```
Annotated error spans:
```Major:
accuracy/untranslated text - ""📉""
Minor:
fluency/punctuation - ""📉""```","<answer>
93
</answer>",en-es
