name,model_base_name,eval_kind,en-de_seg_KendallWithTiesOpt,en-de_sys_pce,en-es_seg_KendallWithTiesOpt,en-es_sys_pce,ja-zh_seg_KendallWithTiesOpt,ja-zh_sys_pce,avg_seg_KendallWithTiesOpt,avg_sys_pce
Qwen/Qwen3-14B@[gemba-da-like],Qwen/Qwen3-14B,gemba-da-like,0.4483,0.7973,0.6802,0.7898,0.5022,0.8882,0.5436,0.8251
Qwen/Qwen3-14B@[gemba-esa],Qwen/Qwen3-14B,gemba-esa,0.4292,0.7401,0.6802,0.7177,0.4352,0.8515,0.5149,0.7698
Qwen/Qwen3-14B@[mt-ranking],Qwen/Qwen3-14B,mt-ranking,0.4566,0.7545,0.6805,0.7706,0.4936,0.8919,0.5436,0.8056
Qwen/Qwen3-4B@[gemba-da-like],Qwen/Qwen3-4B,gemba-da-like,0.4294,0.5219,0.6802,0.4597,0.4354,0.4355,0.5150,0.4724
Qwen/Qwen3-4B@[gemba-esa],Qwen/Qwen3-4B,gemba-esa,0.4292,0.7162,0.6802,0.5994,0.4352,0.8191,0.5149,0.7116
Qwen/Qwen3-4B@[mt-ranking],Qwen/Qwen3-4B,mt-ranking,0.4292,0.6819,0.6802,0.6251,0.4352,0.8871,0.5149,0.7314
Rexhaif/Qwen3-14B-MT-Eval@[gemba-da-like],Rexhaif/Qwen3-14B-MT-Eval,gemba-da-like,0.4597,0.7513,0.6802,0.6549,0.5304,0.9184,0.5568,0.7749
Rexhaif/Qwen3-14B-MT-Eval@[gemba-esa],Rexhaif/Qwen3-14B-MT-Eval,gemba-esa,0.4292,0.7845,0.6802,0.7905,0.4352,0.8553,0.5149,0.8101
Rexhaif/Qwen3-14B-MT-Eval@[mt-ranking],Rexhaif/Qwen3-14B-MT-Eval,mt-ranking,0.4526,0.7966,0.6810,0.7147,0.4889,0.8867,0.5408,0.7993
Rexhaif/Qwen3-4B-MT-Eval#high@[gemba-da-like],Rexhaif/Qwen3-4B-MT-Eval#high,gemba-da-like,0.4569,0.7601,0.6802,0.7828,0.5059,0.8862,0.5476,0.8097
Rexhaif/Qwen3-4B-MT-Eval#low@[gemba-da-like],Rexhaif/Qwen3-4B-MT-Eval#low,gemba-da-like,0.4408,0.7804,0.6802,0.6952,0.4856,0.8469,0.5355,0.7742
Rexhaif/Qwen3-4B-MT-Eval#low@[gemba-esa],Rexhaif/Qwen3-4B-MT-Eval#low,gemba-esa,0.4292,0.6668,0.6802,0.6713,0.4352,0.8333,0.5149,0.7238
Rexhaif/Qwen3-4B-MT-Eval#low@[mt-ranking],Rexhaif/Qwen3-4B-MT-Eval#low,mt-ranking,0.4292,0.3539,0.6802,0.6477,0.4352,0.6361,0.5149,0.5459
Rexhaif/Qwen3-4B-MT-Eval#medium@[gemba-da-like],Rexhaif/Qwen3-4B-MT-Eval#medium,gemba-da-like,0.4422,0.7400,0.6802,0.6732,0.4951,0.8934,0.5391,0.7689
Rexhaif/Qwen3-4B-MT-Eval#medium@[gemba-esa],Rexhaif/Qwen3-4B-MT-Eval#medium,gemba-esa,0.4292,0.6485,0.6802,0.6973,0.4352,0.7935,0.5149,0.7131
Rexhaif/Qwen3-4B-MT-Eval#medium@[mt-ranking],Rexhaif/Qwen3-4B-MT-Eval#medium,mt-ranking,,,0.6802,0.4973,0.4352,0.4625,0.5577,0.4799
Rexhaif/Qwen3-4B-MT-Eval#none@[gemba-da-like],Rexhaif/Qwen3-4B-MT-Eval#none,gemba-da-like,0.4533,0.7621,0.6818,0.6742,0.5104,0.8638,0.5485,0.7667
Rexhaif/Qwen3-4B-MT-Eval#none@[gemba-esa],Rexhaif/Qwen3-4B-MT-Eval#none,gemba-esa,0.4292,0.6121,0.6802,0.6124,0.4356,0.8494,0.5150,0.6913
Rexhaif/Qwen3-4B-MT-Eval#none@[mt-ranking],Rexhaif/Qwen3-4B-MT-Eval#none,mt-ranking,0.4292,0.4706,0.6802,0.5472,0.4352,0.3810,0.5149,0.4662
