prompt,result,lp
"Given the translation from English to Spanish and the annotated error spans, assign a score on a continuous scale from 0 to 100.
The scale has following reference points: 0=""No meaning preserved"", 33=""Some meaning preserved"", 66=""Most meaning preserved and few grammar mistakes"", up to 100=""Perfect meaning and grammar"".

Score the following translation from English source:
```The South was desperate, and their royal family would do anything to stop the bloodshed. They offered their only princess to be queen of the North and bear a son to be the future king. Then, the South would join with the North to make one kingdom. The North accepted, and Princess Eirwen married Prince Akull.```
Spanish translation:
```El Sur estaba desesperado, y su familia real haría cualquier cosa para detener la sangre. Ofrecieron a su única princesa para ser reina del Norte y dar a luz a un hijo que sería el futuro rey. Entonces, el Sur se uniría al Norte para formar un solo reino. El Norte aceptó, y la Princesa Eirwen se casó con el Príncipe Akull.```
Annotated error spans:
```Major:
accuracy/mistranslation - ""dar a luz a un hijo que sería el futuro rey"" (correct: ""para dar a luz a un hijo que sería el futuro rey"")
Minor:
terminology/inappropriate for context - ""se casó con el Príncipe Akull"" (correct: ""se casó con el Príncipe Akull"")```","<answer>
78
</answer>",en-es
"Given the translation from English to Spanish and the annotated error spans, assign a score on a continuous scale from 0 to 100.
The scale has following reference points: 0=""No meaning preserved"", 33=""Some meaning preserved"", 66=""Most meaning preserved and few grammar mistakes"", up to 100=""Perfect meaning and grammar"".

Score the following translation from English source:
```Kari nodded, going back to reviewing her memories and curling up in her thick comforter.```
Spanish translation:
```Kari asintió, volviendo a revisar sus recuerdos y acurrucándose en su grueso edredón.```
Annotated error spans:
```Major:
accuracy/mistranslation - ""edredón"" (correct translation is ""edredón"", but the word ""edredón"" is not commonly used in everyday language; ""almohada"" is more appropriate)
Minor:
none```","<answer>
83
</answer>",en-es
"Given the translation from English to Spanish and the annotated error spans, assign a score on a continuous scale from 0 to 100.
The scale has following reference points: 0=""No meaning preserved"", 33=""Some meaning preserved"", 66=""Most meaning preserved and few grammar mistakes"", up to 100=""Perfect meaning and grammar"".

Score the following translation from English source:
```Initial applications to Harvard for a psychology masters were rejected, but was eventually admitted. The initial setbacks were due to Milgramm not taking any undergraduate courses in psychology at Queens College. In 1961, Milgram received a PhD in social psychology. He became an assistant professor at Yale around the same time.```
Spanish translation:
```Las solicitudes iniciales a Harvard para una maestría en psicología fueron rechazadas, pero finalmente fueron admitidas. Los reveses iniciales se debieron a que Milgramm no tomó ningún curso de pregrado en psicología en Queens College. En 1961, Milgram recibió un doctorado en psicología social. Se convirtió en profesor asistente en Yale casi al mismo tiempo.```
Annotated error spans:
```Major:
accuracy/omission - ""but was eventually admitted""
Minor:
terminology/inappropriate for context - ""profesor asistente""```","<answer>
86
</answer>",en-es
"Given the translation from English to Spanish and the annotated error spans, assign a score on a continuous scale from 0 to 100.
The scale has following reference points: 0=""No meaning preserved"", 33=""Some meaning preserved"", 66=""Most meaning preserved and few grammar mistakes"", up to 100=""Perfect meaning and grammar"".

Score the following translation from English source:
```Did an impressive summersault and smashed my raft in a single move```
Spanish translation:
```Hizo un impresionante salto mortal y destrozó mi balsa en un solo movimiento```
Annotated error spans:
```No error```","<answer>
94
</answer>",en-es
"Given the translation from English to Spanish and the annotated error spans, assign a score on a continuous scale from 0 to 100.
The scale has following reference points: 0=""No meaning preserved"", 33=""Some meaning preserved"", 66=""Most meaning preserved and few grammar mistakes"", up to 100=""Perfect meaning and grammar"".

Score the following translation from English source:
```Hell, my Grandma left her husband for his brother, and I have a great uncle on the other side who left his wife for her aunt. My family may get around, but they don't get very far.```
Spanish translation:
```demonios, mi abuela dejó a su marido por su hermano y tengo un gran tío del otro lado```
Annotated error spans:
```Major:
accuracy/mistranslation - ""demonios, mi abuela dejó a su marido por su hermano y tengo un gran tío del otro lado""
Minor:
accuracy/omission - ""left his wife for her aunt. My family may get around, but they don't get very far.""```","<answer>
73
</answer>",en-es
"Given the translation from English to Spanish and the annotated error spans, assign a score on a continuous scale from 0 to 100.
The scale has following reference points: 0=""No meaning preserved"", 33=""Some meaning preserved"", 66=""Most meaning preserved and few grammar mistakes"", up to 100=""Perfect meaning and grammar"".

Score the following translation from English source:
```Got the messy stage out of the way.```
Spanish translation:
```El desorden de la escena fuera del camino.```
Annotated error spans:
```Major:
accuracy/mistranslation - ""out of the way""
Minor:
fluency/grammar - ""El desorden de la escena fuera del camino.""```","<answer>
40
</answer>",en-es
"Given the translation from English to Spanish and the annotated error spans, assign a score on a continuous scale from 0 to 100.
The scale has following reference points: 0=""No meaning preserved"", 33=""Some meaning preserved"", 66=""Most meaning preserved and few grammar mistakes"", up to 100=""Perfect meaning and grammar"".

Score the following translation from English source:
```Very curious to see how this #DCU team responds to a game that's best forgotten. They've had a bright start and sometimes bad games just happen, but they looked completely outclasses as the game went on. #MLS #mastodonfc```
Spanish translation:
```Muy curioso de ver cómo este equipo de la #DCU responde a un juego que está mejor olvidado. Han tenido un inicio brillante y a veces los juegos malos solo suceden, pero parecían completamente desclasificados a medida que el juego pasó. #MLS #mastodonfc```
Annotated error spans:
```Major:
accuracy/mistranslation - ""desclasificados""
Minor:
terminology/inappropriate for context - ""que está mejor olvidado""```","<answer>
89
</answer>",en-es
"Given the translation from English to Spanish and the annotated error spans, assign a score on a continuous scale from 0 to 100.
The scale has following reference points: 0=""No meaning preserved"", 33=""Some meaning preserved"", 66=""Most meaning preserved and few grammar mistakes"", up to 100=""Perfect meaning and grammar"".

Score the following translation from English source:
```Environment ministers agreed an EU Council negotiating mandate on the proposed Packaging and Packaging Waste Regulation (PPWR) before Christmas, paving the way for imminent political talks with the European Parliament, which are already underway at the technical level.```
Spanish translation:
```Los ministros de Medio Ambiente acordaron un mandato de negociación del Consejo de la UE sobre el Reglamento de Envases y Residuos de Envases (REPE) antes de Navidad, allanando el camino para las inminentes conversaciones políticas con el Parlamento Europeo, que ya están en marcha a nivel técnico.```
Annotated error spans:
```Major:
accuracy/mistranslation - ""Packaging and Packaging Waste Regulation (PPWR)"" translated as ""Reglamento de Envases y Residuos de Envases (REPE)""
Minor:
accuracy/omission - ""which are already underway at the technical level"" translated as ""que ya están en marcha a nivel técnico.""```","<answer>
81
</answer>",en-es
"Given the translation from English to Spanish and the annotated error spans, assign a score on a continuous scale from 0 to 100.
The scale has following reference points: 0=""No meaning preserved"", 33=""Some meaning preserved"", 66=""Most meaning preserved and few grammar mistakes"", up to 100=""Perfect meaning and grammar"".

Score the following translation from English source:
```@user43 shouldn't that be 'i can't get starter'? otherwise, perfect. :D```
Spanish translation:
```@user52 desprend de with cor 'i no plude llegar a entierro'? de tra distrario, perfectoo. :D```
Annotated error spans:
```Major:
accuracy/mistranslation - ""desprend de with cor""
accuracy/omission - ""can't""
Minor:
fluency/spelling - ""perfectoo""```","<answer>
56
</answer>",en-es
"Given the translation from English to Spanish and the annotated error spans, assign a score on a continuous scale from 0 to 100.
The scale has following reference points: 0=""No meaning preserved"", 33=""Some meaning preserved"", 66=""Most meaning preserved and few grammar mistakes"", up to 100=""Perfect meaning and grammar"".

Score the following translation from English source:
```Time for the Scotty Kilmer town. Does your car have faded paint on it? Just stay tuned, because today I'm going to show you how to polish off faded paint. And all the text is a bucket of water, a polisher, and a bottle of this, McGuire is the ultimate compound.```
Spanish translation:
```Hora del Canal de Scotty Kilmer. ¿Tu auto tiene la pintura desgastada? Quédate sintonizado porque hoy te voy a enseñar cómo pulir la pintura descolorida. Y todo lo que necesitas es un balde de agua, una pulidora y una botella de esto: el compuesto definitivo de McGuire.```
Annotated error spans:
```Major:
accuracy/mistranslation - ""desgastada"" (should be ""descolorida"")
Minor:
fluency/register - ""sintonizado"" (should be ""atento"")
style/awkward - ""un balde de agua"" (should be ""un balde de agua"")```","<answer>
86
</answer>",en-es
