prompt,result,lp
"Given the translation from Japanese to Chinese and the annotated error spans, assign a score on a continuous scale from 0 to 100.
The scale has following reference points: 0=""No meaning preserved"", 33=""Some meaning preserved"", 66=""Most meaning preserved and few grammar mistakes"", up to 100=""Perfect meaning and grammar"".

Score the following translation from Japanese source:
```補欠も入れて十五人の選手たちの目は、じっと別府さんの顔を見つめている。別府さんの、おもおもしい口調のそこに、何かよういならないものがあることを、だれもがはっきり感じたからである。```
Chinese translation:
```包括替补在内的十五名选手们，都紧紧地盯着别府先生的脸。因为他们都清楚地感觉到，别府先生那沉重的语调中，有些难以言表的东西。```
Annotated error spans:
```Major:
accuracy/mistranslation - ""おもおもしい"" (heavy, serious, or somber tone)
Minor:
fluency/grammar - ""都紧紧地盯着别府先生的脸"" (all tightly stare at the face of Mr. Befu)
fluency/punctuation - ""那沉重的语调中"" (in that heavy tone)```","<answer>
70
</answer>",ja-zh
"Given the translation from Japanese to Chinese and the annotated error spans, assign a score on a continuous scale from 0 to 100.
The scale has following reference points: 0=""No meaning preserved"", 33=""Some meaning preserved"", 66=""Most meaning preserved and few grammar mistakes"", up to 100=""Perfect meaning and grammar"".

Score the following translation from Japanese source:
```・小学生初心者ボウリング教室```
Chinese translation:
```年龄与即时的政权明星```
Annotated error spans:
```Major:
accuracy/mistranslation - ""年龄与即时的政权明星""
accuracy/untranslated text - ""・""
Minor:
fluency/punctuation - ""・""```","<answer>
33
</answer>",ja-zh
"Given the translation from Japanese to Chinese and the annotated error spans, assign a score on a continuous scale from 0 to 100.
The scale has following reference points: 0=""No meaning preserved"", 33=""Some meaning preserved"", 66=""Most meaning preserved and few grammar mistakes"", up to 100=""Perfect meaning and grammar"".

Score the following translation from Japanese source:
```ふたりはだまっています。```
Chinese translation:
```两个人都沉默着。```
Annotated error spans:
```Major:
accuracy/mistranslation - ""都沉默着""
Minor:
style/awkward - ""着""```","<answer>
66
</answer>",ja-zh
"Given the translation from Japanese to Chinese and the annotated error spans, assign a score on a continuous scale from 0 to 100.
The scale has following reference points: 0=""No meaning preserved"", 33=""Some meaning preserved"", 66=""Most meaning preserved and few grammar mistakes"", up to 100=""Perfect meaning and grammar"".

Score the following translation from Japanese source:
```・カフェの陶芸教室```
Chinese translation:
```・咖啡厅陶艺教室```
Annotated error spans:
```Major:
accuracy/mistranslation - ""カフェ"" (cafe) to ""咖啡厅"" (coffee shop)
Minor:
terminology/inconsistent use - ""陶艺教室"" (ceramic art class)```","<answer>
66
</answer>",ja-zh
"Given the translation from Japanese to Chinese and the annotated error spans, assign a score on a continuous scale from 0 to 100.
The scale has following reference points: 0=""No meaning preserved"", 33=""Some meaning preserved"", 66=""Most meaning preserved and few grammar mistakes"", up to 100=""Perfect meaning and grammar"".

Score the following translation from Japanese source:
```ちょっとここで一休み、OISTを外から眺めてみましょう。 OISTは、恩納村の自然環境豊かな場所に建てられていて、 周辺の自然環境、動植物をできるだけ傷つけないような工夫がされています。 OISTは、若い世代への科学教育にも力を入れています。```
Chinese translation:
```我们可以稍微停下来，从外面看看OIST。 OIST建在女村的自然环境优美的地方，为了尽量不破坏周围的自然环境和动植物，OIST采取了一些措施。OIST还致力于对年轻一代进行科学教育。```
Annotated error spans:
```Major:
accuracy/mistranslation - ""女村"" (should be ""恩納村"")
Minor:
style/awkward - ""等等"" (should be ""etc."")```","<answer>
91
</answer>",ja-zh
"Given the translation from Japanese to Chinese and the annotated error spans, assign a score on a continuous scale from 0 to 100.
The scale has following reference points: 0=""No meaning preserved"", 33=""Some meaning preserved"", 66=""Most meaning preserved and few grammar mistakes"", up to 100=""Perfect meaning and grammar"".

Score the following translation from Japanese source:
```二```
Chinese translation:
```二```
Annotated error spans:
```Major:
accuracy/untranslated text - ""二""
Minor:
style/awkward - ""二""```","<answer>
76
</answer>",ja-zh
"Given the translation from Japanese to Chinese and the annotated error spans, assign a score on a continuous scale from 0 to 100.
The scale has following reference points: 0=""No meaning preserved"", 33=""Some meaning preserved"", 66=""Most meaning preserved and few grammar mistakes"", up to 100=""Perfect meaning and grammar"".

Score the following translation from Japanese source:
```それに対して少年は横柄に簡単な返事をするのであるが、この界隈へ入り彼女等の姿が見え出してから少年のわたしに対する態度は俄然変って来た。```
Chinese translation:
```对此，少年以傲慢的态度给出了简单的回答。但是，从那时起，当我们进入这个地区，看到她们的身影时，少年对我的态度突然改变了。```
Annotated error spans:
```Major:
accuracy/mistranslation - ""横柄に簡単な返事をするのであるが""
accuracy/omission - ""この界隈へ入り彼女等の姿が見え出してから""
Minor:
fluency/inconsistency - ""当我们""```","<answer>
85
</answer>",ja-zh
"Given the translation from Japanese to Chinese and the annotated error spans, assign a score on a continuous scale from 0 to 100.
The scale has following reference points: 0=""No meaning preserved"", 33=""Some meaning preserved"", 66=""Most meaning preserved and few grammar mistakes"", up to 100=""Perfect meaning and grammar"".

Score the following translation from Japanese source:
```防衛省は7日、救援活動の支援のため自衛隊員約6000人を派遣したと発表した。```
Chinese translation:
```防卫省于7日宣布，为了支援救援活动，已派遣约6000名自卫队员。```
Annotated error spans:
```No error.```","<answer>
93
</answer>",ja-zh
"Given the translation from Japanese to Chinese and the annotated error spans, assign a score on a continuous scale from 0 to 100.
The scale has following reference points: 0=""No meaning preserved"", 33=""Some meaning preserved"", 66=""Most meaning preserved and few grammar mistakes"", up to 100=""Perfect meaning and grammar"".

Score the following translation from Japanese source:
```真下には、 緑豊かなやんばるの森が広がっています。 沖縄の美しい自然と一体化したOISTキャンパスを感じながら、空中散歩ができる一番人気のスポットです。 こちらは、故シドニー・ブレナー博士の銅像です。 2002年にノーベル生理学医学賞を受賞した科学者で、OISTの創設にとても重要な役割を果たしてくれました。```
Chinese translation:
```下面是茂盛的山林，这里是著名的空中漫步路线，可以欣赏到OIST与美丽的自然环境融为一体的风景。这是Sidney B. Brenner博士的铜像，他在2002年获得了诺贝尔生理学或医学奖，并为OIST的建立做出了巨大贡献。```
Annotated error spans:
```Major:
accuracy/omission - ""やんばるの森""
accuracy/omission - ""空中散歩ができる一番人気のスポットです""
Minor:
style/awkward - ""2002年にノーベル生理学医学賞を受賞した科学者で""```","<answer>
85
</answer>",ja-zh
"Given the translation from Japanese to Chinese and the annotated error spans, assign a score on a continuous scale from 0 to 100.
The scale has following reference points: 0=""No meaning preserved"", 33=""Some meaning preserved"", 66=""Most meaning preserved and few grammar mistakes"", up to 100=""Perfect meaning and grammar"".

Score the following translation from Japanese source:
```「兄上さま、ただ今のお話は本当でございますか」```
Chinese translation:
```“哥哥，你现在的故事是真的吗？”```
Annotated error spans:
```Major:
accuracy/mistranslation - ""兄上さま""
Minor:
style/awkward - ""你现在的故事""```","<answer>
68
</answer>",ja-zh
