prompt,result,lp
"Given the translation from English to German and the annotated error spans, assign a score on a continuous scale from 0 to 100.
The scale has following reference points: 0=""No meaning preserved"", 33=""Some meaning preserved"", 66=""Most meaning preserved and few grammar mistakes"", up to 100=""Perfect meaning and grammar"".

Score the following translation from English source:
```And it turns out that level was uploaded with a TAS after all, so it is no longer considered to count and they've declared victory. Kinda anticlimactic tbh but GG to the people who got everything to that point!```
German translation:
```Und es stellte sich heraus, dass das Level doch mit einem TAS hochgeladen wurde, also wird es nicht mehr berücksichtigt und sie haben den Sieg erklärt. Um ehrlich zu sein, ein bisschen enttäuschend, aber GG an die Leute, die bis dahin alles geschafft haben!```
Annotated error spans:
```Major:
accuracy/omission - ""after all""
Minor:
terminology/inconsistent use - ""GG""```","<answer>
93
</answer>",en-de
"Given the translation from English to German and the annotated error spans, assign a score on a continuous scale from 0 to 100.
The scale has following reference points: 0=""No meaning preserved"", 33=""Some meaning preserved"", 66=""Most meaning preserved and few grammar mistakes"", up to 100=""Perfect meaning and grammar"".

Score the following translation from English source:
```@user13 Being in the world is being in relationships```
German translation:
```@user13 In der Welt zu sein bedeutet, in Beziehungen zu sein```
Annotated error spans:
```No error```","<answer>
99
</answer>",en-de
"Given the translation from English to German and the annotated error spans, assign a score on a continuous scale from 0 to 100.
The scale has following reference points: 0=""No meaning preserved"", 33=""Some meaning preserved"", 66=""Most meaning preserved and few grammar mistakes"", up to 100=""Perfect meaning and grammar"".

Score the following translation from English source:
```It would be streamed out of order, but the browser would assemble the HTML document as if it were streamed in order.```
German translation:
```Es würde nicht der Reihe nach gestreamt, aber der Browser würde das HTML-Dokument so zusammenfügen, als wäre es der Reihe nach gestreamt worden.```
Annotated error spans:
```Major:
accuracy/omission - ""out of order""
Minor:
style/awkward - ""als wäre es der Reihe nach gestreamt worden""```","<answer>
94
</answer>",en-de
"Given the translation from English to German and the annotated error spans, assign a score on a continuous scale from 0 to 100.
The scale has following reference points: 0=""No meaning preserved"", 33=""Some meaning preserved"", 66=""Most meaning preserved and few grammar mistakes"", up to 100=""Perfect meaning and grammar"".

Score the following translation from English source:
```Don't let SNP to turn health service crisis into the ""new normal"" - Scotsman comment```
German translation:
```Lassen Sie nicht zu, dass die SNP die Gesundheitskrise zum „neuen Normalzustand“ macht – ein Kommentar des Scotsman.```
Annotated error spans:
```Major:
accuracy/mistranslation - ""the ""new normal""""
Minor:
terminology/inappropriate for context - ""Gesundheitskrise""```","<answer>
86
</answer>",en-de
"Given the translation from English to German and the annotated error spans, assign a score on a continuous scale from 0 to 100.
The scale has following reference points: 0=""No meaning preserved"", 33=""Some meaning preserved"", 66=""Most meaning preserved and few grammar mistakes"", up to 100=""Perfect meaning and grammar"".

Score the following translation from English source:
```7 pages left in chapter five. Still my fave chapter and it's in pretty good shape - mostly typesetting changes and very minor edits for active voice and conciseness. But I could really do with a break and a cuppa and the dude is still doing things to my kitchen.```
German translation:
```Noch 7 Seiten in Kapitel fünf. Immer noch mein Lieblingskapitel und es ist in ziemlich gutem Zustand - hauptsächlich Änderungen in der Formatierung und sehr geringfügige Bearbeitungen für Aktivität und Prägnanz. Aber ich könnte wirklich eine Pause und eine Tasse Tee gebrauchen und der Typ ist immer noch damit beschäftigt, in meiner Küche zu arbeiten.```
Annotated error spans:
```Major:
accuracy/mistranslation - ""Aktivität und Prägnanz""
accuracy/omission - ""for active voice and conciseness""
Minor:
fluency/punctuation - ""and the dude is still doing things to my kitchen.``````","<answer>
86
</answer>",en-de
"Given the translation from English to German and the annotated error spans, assign a score on a continuous scale from 0 to 100.
The scale has following reference points: 0=""No meaning preserved"", 33=""Some meaning preserved"", 66=""Most meaning preserved and few grammar mistakes"", up to 100=""Perfect meaning and grammar"".

Score the following translation from English source:
```Today we're going to talk about Ben Affleck defending an interview. Greg, why don't you to tell us about the video we're going to watch. Yeah, so a couple of weeks ago, Ben Affleck went on a two hour interview with Howard Stern. He talked about his breakup with his ex- wife and family, and he had some fallout from it, so here we go. Here he is, Ben no Flick.```
German translation:
```Heute sprechen wir über Ben Affleck, der ein Interview verteidigt. Greg, möchtest du uns nicht über das Video erzählen, das wir uns anschauen werden? Ja, also vor ein paar Wochen hat Ben Affleck ein zweistündiges Interview mit Howard Stern gegeben. Er sprach über seine Trennung von seiner Ex-Frau und seiner Familie, und es gab einige Nachwirkungen, also los geht's. Hier ist er, Ben-o-Flick.```
Annotated error spans:
```Major:
accuracy/mistranslation - ""defending an interview""
Minor:
style/awkward - ""so here we go""```","<answer>
87
</answer>",en-de
"Given the translation from English to German and the annotated error spans, assign a score on a continuous scale from 0 to 100.
The scale has following reference points: 0=""No meaning preserved"", 33=""Some meaning preserved"", 66=""Most meaning preserved and few grammar mistakes"", up to 100=""Perfect meaning and grammar"".

Score the following translation from English source:
```So either there's something wrong with this panel or my multimeter, or they changed the listing.```
German translation:
```Entweder stimmt etwas mit diesem Panel oder meinem Multimeter nicht, oder sie haben die Auflistung geändert.```
Annotated error spans:
```Major:
accuracy/mistranslation - ""they changed the listing""
Minor:
style/awkward - ""Entweder""```","<answer>
70
</answer>",en-de
"Given the translation from English to German and the annotated error spans, assign a score on a continuous scale from 0 to 100.
The scale has following reference points: 0=""No meaning preserved"", 33=""Some meaning preserved"", 66=""Most meaning preserved and few grammar mistakes"", up to 100=""Perfect meaning and grammar"".

Score the following translation from English source:
```@user42 this is very interesting because it says my latest public post to my-blog was in 2022 but I am certain this repo has been private for several years```
German translation:
```@user42 Das ist sehr interessant, weil es sagt, dass mein letzter öffentlicher Beitrag auf meinem Blog im Jahr 2022 war, aber ich bin mir sicher, dass dieses Repository seit mehreren Jahren privat ist.```
Annotated error spans:
```No error.```","<answer>
100
</answer>",en-de
"Given the translation from English to German and the annotated error spans, assign a score on a continuous scale from 0 to 100.
The scale has following reference points: 0=""No meaning preserved"", 33=""Some meaning preserved"", 66=""Most meaning preserved and few grammar mistakes"", up to 100=""Perfect meaning and grammar"".

Score the following translation from English source:
```yeah bro, I probably wouldn't hire me, might fall asleep. but you totallly should. that beer aint drinking itself aye```
German translation:
```ja, bruder, ich würde wahrscheinlich nicht für dich arbeiten, ich könnte einschlafen. aber du solltest es tun. das bier trinkt sich nicht von alleine, ja```
Annotated error spans:
```Major:
accuracy/mistranslation - ""for you""
accuracy/mistranslation - ""totally""
Minor:
fluency/register - ""bruder""```","<answer>
70
</answer>",en-de
"Given the translation from English to German and the annotated error spans, assign a score on a continuous scale from 0 to 100.
The scale has following reference points: 0=""No meaning preserved"", 33=""Some meaning preserved"", 66=""Most meaning preserved and few grammar mistakes"", up to 100=""Perfect meaning and grammar"".

Score the following translation from English source:
```It still might die as soon as the sun goes down, but let's wait and see.```
German translation:
```Er könnte sterben, sobald die Sonne untergeht, aber wir warten mal ab.```
Annotated error spans:
```Major:
accuracy/omission - ""It still might""
Minor:
style/awkward - ""aber wir warten mal ab""```","<answer>
75
</answer>",en-de
